date,cryptotype,close_percentage,open_percentage
2020-04-13,Doge,-99.44416609562734,-99.4561637393272
2020-04-12,Doge,-99.45864390499214,-99.44997100539842
2020-04-11,Doge,-99.44643714009922,-99.4457486421248
2020-04-10,Doge,-99.44104340947852,-99.43477062869178
2020-04-09,Doge,-99.43195929768663,-99.43589659223142
2020-04-08,Doge,-99.43110772210527,-99.43758547200167
2020-04-07,Doge,-99.42202361031337,-99.44434125323946
2020-04-06,Doge,-99.43990795333818,-99.4772753918473
2020-04-05,Doge,-99.4665924945481,-99.47333455222818
2020-04-04,Doge,-99.47227007267998,-99.47896433715675
2020-04-03,Doge,-99.47340556186812,-99.47558647930745
2020-04-02,Doge,-99.468295777902,-99.47558647930745
2020-04-01,Doge,-99.47510884522202,-99.49163132866882
2020-03-31,Doge,-99.48504459869086,-99.48684601639498
2020-03-30,Doge,-99.4844768375729,-99.51471341738328
2020-03-29,Doge,-99.51116141183061,-99.49782409536719
2020-03-28,Doge,-99.49299318824683,-99.50683173814505
2020-03-27,Doge,-99.51400018437265,-99.47755688273222
2020-03-26,Doge,-99.47255395323896,-99.48684601639498
2020-03-25,Doge,-99.48220579310103,-99.48909794347425
2020-03-24,Doge,-99.48476071813188,-99.48037179158129
2020-03-23,Doge,-99.47567660633999,-99.51499490826818
2020-03-22,Doge,-99.50378055034483,-99.46911222172416
2020-03-21,Doge,-99.47510884522202,-99.49585365917284
2020-03-20,Doge,-99.49072214377496,-99.50542428372052
2020-03-19,Doge,-99.5009417778028,-99.55158842837983
2020-03-18,Doge,-99.54778170650937,-99.52146913308188
2020-03-17,Doge,-99.51740671803266,-99.52343956927623
2020-03-16,Doge,-99.51939388194555,-99.53441761547884
2020-03-15,Doge,-99.53188452739747,-99.53216572116918
2020-03-14,Doge,-99.5239359378415,-99.50401682929598
2020-03-13,Doge,-99.49838688581973,-99.56538138343153
2020-03-12,Doge,-99.56282727699214,-99.4074662094733
2020-03-11,Doge,-99.40243598393467,-99.38100626290954
2020-03-10,Doge,-99.37575140967695,-99.38466557887415
2020-03-09,Doge,-99.374899768,-99.3869175059534
2020-03-08,Doge,-99.38369999923292,-99.33230873305564
2020-03-07,Doge,-99.3300469701585,-99.30669325914661
2020-03-06,Doge,-99.30194299310587,-99.30669325914661
2020-03-05,Doge,-99.29853649249365,-99.30753766626214
2020-03-04,Doge,-99.31074322433878,-99.3131674839603
2020-03-03,Doge,-99.30449791813672,-99.34328674648866
2020-03-02,Doge,-99.3391310819504,-99.362427995584
2020-03-01,Doge,-99.3567315444162,-99.36693184974253
2020-02-29,Doge,-99.36184139447792,-99.35651675254013
2020-02-28,Doge,-99.34338929033515,-99.33878295786933
2020-02-27,Doge,-99.33345353686632,-99.34497569179811
2020-02-26,Doge,-99.33969884306836,-99.32414556293251
2020-02-25,Doge,-99.3209628583666,-99.27657393107904
2020-02-24,Doge,-99.27213579879492,-99.26615883387664
2020-02-23,Doge,-99.2602128814132,-99.25292889336437
2020-02-22,Doge,-99.24346406062432,-99.25743268198369
2020-02-21,Doge,-99.25056100850333,-99.25433634778891
2020-02-20,Doge,-99.249141671804,-99.25968460906296
2020-02-19,Doge,-99.25765802247793,-99.20760918859017
2020-02-18,Doge,-99.19804350166486,-99.23350615338411
2020-02-17,Doge,-99.26078064253116,-99.1915643392288
2020-02-16,Doge,-99.25169653073927,-99.18368265999058
2020-02-15,Doge,-99.17618489690986,-99.1287923306687
